Exercise,Sets x Reps/Time,Weight,Notes,Complete,Demo
Kyphosis-Focused 3-Day Workout Routine,,,,,
60-75 minutes per session | Superset format with stretches between sets,,,,,
DAY 1: Upper Back & Posterior Chain,,,,,
Prone YTWs,3 x 12 each,N/A,,TRUE,https://youtu.be/QdGTI4Lshg4?si=VJBW_u0alTqy5b50
Scapular Retraction (band pull-aparts),3 x 15,N/A,yellow band,TRUE,https://youtu.be/3OYSIWaJJk4?si=9_qIp5-lurrXqb1I
Thoracic extension over foam roll - 45 sec,,,,FALSE,
Deep Neck Flexors (chin tucks),3 x 20 sec,N/A,,TRUE,https://youtu.be/2Afm2uIDNRw?si=7lHWomf4tPBfZfQU&t=65
Wall Slides/Wall Angels,3 x 12,N/A,,TRUE,https://youtu.be/ywYi4rBhRBQ?feature=shared&t=23
Standing chest opener (hands clasped behind back) - 30 sec,,,,FALSE,
Romanian Deadlifts,3 x 12,115,,TRUE,https://youtu.be/TIvKHlZZJGs?si=zd2hI_nRzJ9MSCFO&t=20
Standing Calf Raises (2 sec hold),3 x 20,Bodyweight,,TRUE,
Standing hamstring stretch - 30 sec each leg,,,,FALSE,
Face Pulls,3 x 15,42.5,done ,TRUE,
Single-Leg Calf Raises,3 x 15 each,,done ,TRUE,
Doorway pec stretch - 30 sec each side,,,,FALSE,
Reverse Flyes,3 x 12,15,,TRUE,https://youtu.be/xvEkgGUrGPM?si=-2VnHUyk5V0BSy2q
Brugger's Relief Position Holds,3 x 30 sec,Bodyweight,,TRUE,https://youtu.be/eb5LHGpAJIk?si=q6EwhHuQHFjlYb-P
Lat stretch (overhead side bend) - 30 sec each side,,,,FALSE,
FINISHER,,,,,
Farmer's Carries,3 x 40 sec,,,FALSE,
Planks (neutral neck),3 x 30-45 sec,Bodyweight,,FALSE,
Neck Extensor Stretch,2 x 30 sec,Bodyweight,,FALSE,
,,,,,
DAY 2: Lower Body & Glute Focus,,,,,
Goblet Squats (chest up),4 x 15,40,,TRUE,https://youtu.be/MeIiIdhvXT4?si=cB89Of7Y5Y28W8mp
Walking Lunges,4 x 12 each leg,Bodyweight,,TRUE,https://youtu.be/L8fvypPrzzs?si=faPr8kKlu4lwFfJM
Hip flexor stretch - 30 sec each side,,,,TRUE,https://www.facebook.com/share/v/1Gb3eVwwBK/
Bulgarian Split Squats,4 x 12 each leg,20,,TRUE,https://youtu.be/o7yFuIR9XVU?si=TnxZXpF8ToZLBjIK
Lateral Lunges,4 x 10 each side,,,TRUE,https://youtu.be/gwWv7aPcD88?si=HLlvaWT8TxJ6w-TK
Upper trap stretch - 30 sec each side,,,,TRUE,https://youtu.be/yho44869qPw?si=HFLXdedAmxWOuUn7
Single-Leg Romanian Deadlifts,3 x 10 each leg,,need better balance first ,FALSE,https://youtu.be/ViVhUZGk6i4?si=CW94Qdv2qYMUSnPV
Seated Calf Raises (soleus),3 x 20,,,FALSE,
Figure-4 stretch - 30 sec each side,,,,FALSE,
Glute Bridges,3 x 20,,already do in pilates ,FALSE,
Lateral Band Walks,3 x 15 each direction,,,FALSE,
Spinal rotations (seated) - 8 each side,,,,FALSE,
FINISHER,,,,,
Wall Sit,3 x 60 sec,Bodyweight,,TRUE,
Calf Raises on Stairs (full ROM),3 x 15,,,TRUE,https://youtu.be/__qfDhdByMY?si=0C-x54kcMFEsHPu7
,,,,,
DAY 3: Full Body & Athletic Performance,,,,,
Exercise,Sets x Reps/Time,Weight,Notes,,
Inverted Rows (or TRX rows),3 x 12,,,TRUE,https://youtube.com/shorts/mp-50tdOr6s?si=gOnmvaxmH8_ZxvKU
Step-Ups (knee drive at top),3 x 12 each leg,,,TRUE,https://youtube.com/shorts/uB6C5ERjrjw?si=WGgnd0vzR4qo-GND
Thread the needle - 30 sec each side,,,,TRUE,https://youtube.com/shorts/h6_v-dZGLjY?si=3JpQRzgb5sPSOYfn
Dumbbell Chest Press,3 x 12,25,,TRUE,https://youtube.com/shorts/rk8YayRoTRQ?si=32weU_5Oix_-PHys
Reverse Lunges,3 x 12 each leg,,,TRUE,https://youtube.com/shorts/b_2qgdXT_QQ?si=vg-BRUztYPHUiYCl
Upper trap stretch - 30 sec each side,,,,TRUE,https://youtu.be/-r0eoFS7_5Q?si=I12nyneJsx1FezqX&t=9
Single-Leg Squats to Box,3 x 8 each leg,,"24"" box",TRUE,https://youtube.com/shorts/UjfJCWo__hk?si=TyvK38qitdOO7MME
Calf Raises Single Leg (3 sec eccentric),3 x 12 each leg,,,TRUE,https://youtube.com/shorts/1Xk4k0u_R_o?si=uHXyzVKj8TW2vvYB
Hip circles - 8 each direction,,,,TRUE,https://youtube.com/shorts/_kkLyBdQbLs?si=eg8cTx98y0glC502
Cable or Band Rows,3 x 15,,purple ,TRUE,https://youtube.com/shorts/W5CGo5vzbXI?si=M02xMl0c62ZADQus
Lateral Raises (light weight),3 x 12,15,,TRUE,https://youtube.com/shorts/U2gMn8GXr2A?si=bx20jik8aYPoNITi
Foam roll thoracic extensions - 45 sec,,,,TRUE,https://youtube.com/shorts/j1V-stq6j0g?si=Enz38eT2UNPO0OX-
External Rotations (light weight),3 x 15 each arm,,,TRUE,https://youtube.com/shorts/JdE0dZLZ-Tc?si=351KMpwsrbI4HEcX
Band Pull-Aparts (multiple angles),3 x 15,,,TRUE,
Pec minor stretch (corner or doorway) - 30 sec,,,,TRUE,https://youtube.com/shorts/W1WcacpQ_RM?si=W9ZpSWsWExhhKxeM
FINISHER,,,,,
Spinal Extensors (Superman holds),3 x 20 sec,Bodyweight,,TRUE,https://youtu.be/u6URsk0OmTE?si=jqINp5qsSCZ4IQ8I
Dead Bugs with Arm Reaches,3 x 8 each side,Bodyweight,,TRUE,https://youtube.com/shorts/DqLL45uk2Tk?si=RfSO4VARGBEBQVTV
Standing Thoracic Rotations,3 x 10 each side,Bodyweight,,TRUE,https://youtube.com/shorts/Pa0D-RNO4cQ?si=Wy2LuBPlXM5kzI3U
Key Reminders,,,,,
Pre-Workout: Foam roll upper back for 2-3 minutes before each session,,,,,
Form First: Focus on perfect form over weight for the first month,,,,,
Progression: Add 5-10% weight when you can complete all reps with excellent form,,,,,
"Kyphosis Focus: Keep neck neutral, emphasize thoracic extension, stretch tight pecs/lats",,,,,
"Injury Prevention: Stop if you feel pain (not muscle fatigue), protect rotator cuff",,,,,
Complementary Work: Pilates (Tuesday) and Yoga (Thursday) enhance this routine,,,,,
