Done,Exercise,Sets x Reps/Time,Weight,Demo,Notes
,"DAY 1: Chest, Shoulders & Arms",,,,
TRUE,Incline Dumbbell Press (10-12),12,35,Incline DB Press Tutorial,
TRUE,,12,35,,
TRUE,,12,35,,
FALSE,,12,35,,
TRUE,Seated Dumbbell Shoulder Press (10-12),12,25,Seated Shoulder Press Form,
TRUE,,12,25,,
TRUE,,6,30,,
TRUE,Doorway pec stretch - 30 sec each side,,,,
TRUE,Cable Chest Flyes (12-15),15,100,Cable Flyes Demo,
TRUE,,15,100,,
TRUE,,15,100,,
TRUE,Face Pulls,3 x 20,50,Face Pulls Tutorial,
TRUE,,,50,,
TRUE,,,50,,
TRUE,Cross-body shoulder stretch - 30 sec each side,,,https://youtu.be/Pg0JvLSfWwM?si=3wW3N0IyrD8LMQRh,
TRUE,Cable Tricep Pushdowns (12-15),15,50,Tricep Pushdown Form,
TRUE,,15,50,,
TRUE,,15,50,,
TRUE,Dumbbell Hammer Curls (12-15),15,20,Hammer Curls Demo,
TRUE,,15,20,,
TRUE,,14,20,,
TRUE,Tricep overhead stretch - 30 sec each arm,,,https://youtu.be/3_eaPeNRpzk?si=yYVnLZfDzRmDegC_&t=10,
TRUE,Overhead Tricep Extension (light 12-15),15,25,Overhead Tricep Extension,
TRUE,,15,25,,
TRUE,,15,25,,
TRUE,Cable Bicep Curls (12-15),15,37.5,Cable Curls Tutorial,
TRUE,,14,37.5,,
TRUE,,12,37.5,,
TRUE,Forearm flexor/extensor stretches - 30 sec each,,,https://youtu.be/Ayhu7TzNGSQ?si=C0NpV_YSYEkogFy5&t=26,
TRUE,External Rotations with Band,3 x 15 each arm,,External Rotation Demo,
TRUE,,,,,green band or weight 
TRUE,,,,,
TRUE,Wall Slides w/Lift Off,3 x 12,,Wall Slides Tutorial,
TRUE,,,,,
TRUE,,,,,
TRUE,Wrist Curls (forearm tendonitis prevention),2 x 20 each,15,Wrist Curls Demo,10 may be a better weight 
TRUE,,,15,,
,,,,,
,DAY 2: Back & Biceps,,,,
TRUE,Lat Pulldown (wide grip 10-12),12,85,Lat Pulldown Form,
TRUE,,11,100,,
TRUE,,15,100,,
FALSE,,12,100,,
TRUE,Chest-Supported Rows (12-15),13,35,https://youtu.be/0bzN1oy0gtQ?si=BZ8nhEs5WosRNJos&t=38,
TRUE,,12,35,,
TRUE,,12,35,,
FALSE,,,,,
TRUE,Lat stretch (pull arm across) - 30 sec each side,,,https://youtu.be/6V5tSn9oEJg?si=hZVk6XWOnPcq8Hx7&t=252,
TRUE,Cable Rows (neutral grip - 12-15),15,100,Cable Row Tutorial,
TRUE,,15,100,,
TRUE,,15,100,,
TRUE,Reverse Pec Deck (rear delts),3 x 15,85,https://youtube.com/shorts/7tgx6QHB0-A?si=X5-rjivVzjrL7gZl,
TRUE,,15,85,,
TRUE,,15,85,,
TRUE,Thread the needle - 30 sec each side,,,,
TRUE,Incline Dumbbell Curls (10-12),12,15,Incline Curls Demo,
TRUE,,12,15,,
TRUE,,10,15,,
TRUE,Preacher Curls (machine or bench - 12-15),10,50,Preacher Curls Tutorial,
TRUE,,15,40,,
TRUE,,13,40,,
TRUE,Bicep wall stretch - 30 sec each side,,,https://youtube.com/shorts/j0rdJpN4B8Y?si=s7YD7qBcdfUfGHZ0,
TRUE,Dumbbell Shrugs (controlled),3 x 15,45,Dumbbell Shrugs Form,
TRUE,,,45,,
TRUE,,,45,,
TRUE,Reverse Curls (forearm strength),3 x 15,10,https://youtube.com/shorts/1Nvg_vHUJPY?si=arsQGG6ZoDIQmTaf,
TRUE,,,10,,
TRUE,,,10,,
TRUE,Upper trap stretch - 30 sec each side,,,https://youtu.be/yho44869qPw?si=1AxItJtvprPgfoL7&t=65,
TRUE,Prone YTWs,3 x 10 each,,https://youtu.be/QdGTI4Lshg4?si=VJBW_u0alTqy5b50,
TRUE,,,,,
TRUE,,,,,
TRUE,Plank with Shoulder Taps,3 x 20 total,,,
TRUE,,,,,
TRUE,,,,,
TRUE,Hanging Dead Hang (grip strength 20-30 sec),30,,,
TRUE,,30,,,
TRUE,,30,,,
,,,,,
,DAY 3: Legs & Core,,,,
TRUE,Leg Press (12-15),13,180,Leg Press Form,dropped from 235 to 180 due to left knee pain
TRUE,,14,180,,
TRUE,,15,180,,
FALSE,,,,,
TRUE,Leg Extensions,4 x 15,70,Leg Extensions Demo,dropped from 90 to 70 due to left knee pain
TRUE,,15,70,,
TRUE,,15,70,,
FALSE,,,,,
TRUE,Standing quad stretch - 30 sec each leg,,,https://youtu.be/Uwwuc8pRRc0?si=wqZIub-SBw7at7ea&t=2,
TRUE,Leg Curls (lying or seated 12-15),15,120,Leg Curls Tutorial,
TRUE,,15,120,,
TRUE,,15,120,,
FALSE,,,,,
TRUE,Standing Calf Raises (machine),3 x 20,180,,
TRUE,,,180,,
TRUE,,,180,,
TRUE,Figure-4 stretch - 30 sec each side,,,https://youtube.com/shorts/4CqSgEx5q_g?si=o8Fy1R9lbjNhaB2g,
TRUE,Smith Machine Lunges,3 x 12 each leg,70,Smith Machine Lunges,
TRUE,,,70,,
TRUE,,,70,,
TRUE,Barbell Hip Thrusts (12-15),15,90,Hip Thrust Form,
TRUE,,15,90,,
TRUE,,13,90,,
TRUE,Hip flexor stretch - 30 sec each side,,,https://youtube.com/shorts/ZQXGUfGmgKc?si=kRsaB5pQgh8V4N6s,
TRUE,Hip Abductor Machine,3 x 15,145,Hip Abductor Machine,
TRUE,,,145,,
TRUE,,,145,,
TRUE,Hip Adductor Machine,3 x 15,145,Hip Adductor Machine,
TRUE,,,145,,
TRUE,,,145,,
TRUE,Seated spinal twist - 30 sec each side,,,https://youtube.com/shorts/CEGaNMsb8IA?si=vMRvNEv5ROPe0YKt,
TRUE,Cable Woodchops (12 each side),,42.5,Cable Woodchops Demo,
TRUE,,12,42.5,,
TRUE,,12,42.5,,
TRUE,Pallof Press,3 x 12 each side,30,Pallof Press Tutorial,weight or medium band
TRUE,,,,,
TRUE,,,,,
TRUE,Full Back Stretch - 30 seconds ,,,https://youtu.be/rWFRxEr6eQ8?si=hAwHkvUYLM0BK-RO&t=6,
FALSE,Weighted Russian Twists,15 each side,12,Russian Twists Demo,
FALSE,,,14,,
FALSE,,,12,,
FALSE,Seated Calf Raises (machine),3 x 20,160,,
FALSE,,,160,,
FALSE,,,160,,
FALSE,Bicycle Crunches,3 x 20 each side,,Bicycle Crunches Form,
FALSE,,,,,
FALSE,,,,,
