Exercise,Sets x Reps/Time,Weight,Complete,Demo,Notes,
"DAY 1: Chest, Shoulders & Arms",,,,,,
Incline Dumbbell Press,4 x 10-12,30,TRUE,Incline DB Press Tutorial,,
,12,30,TRUE,,,
,12,30,TRUE,,,
,12,30,TRUE,,,
Cable Chest Flyes,4 x 12-15,100,TRUE,Cable Flyes Demo,,
,12,100,TRUE,,,
,12,100,TRUE,,,
,12,100,TRUE,,,
Doorway pec stretch - 30 sec each side,,,TRUE,,,
Seated Dumbbell Shoulder Press,3 x 10-12,30,TRUE,Seated Shoulder Press Form,,
,12,30,TRUE,,,
,10,30,TRUE,,,
Face Pulls (high reps for shoulder health),3 x 20,42.5,TRUE,Face Pulls Tutorial,,
,,42.5,TRUE,,,
,,42.5,TRUE,,,
Cross-body shoulder stretch - 30 sec each side,,,TRUE,https://youtu.be/Pg0JvLSfWwM?si=3wW3N0IyrD8LMQRh,,
Cable Tricep Pushdowns,3 x 12-15,42.5,TRUE,Tricep Pushdown Form,,
,15,50,TRUE,,,
,13,50,TRUE,,,
Dumbbell Hammer Curls,3 x 12-15,25,TRUE,Hammer Curls Demo,may need to drop to 20,
,12,25,TRUE,,,
,,20,TRUE,,,
Tricep overhead stretch - 30 sec each arm,,,TRUE,https://youtu.be/3_eaPeNRpzk?si=mul6arxP0l251P4p,,
Overhead Tricep Extension (light weight),3 x 12-15,25,TRUE,Overhead Tricep Extension,,
,15,25,TRUE,,,
,15,25,TRUE,,,
Cable Bicep Curls,3 x 12-15,42.5,TRUE,Cable Curls Tutorial,,
,12,35,TRUE,,,
,12,35,TRUE,,,
Forearm flexor/extensor stretches - 30 sec each,,,TRUE,https://youtu.be/Ayhu7TzNGSQ?si=Pey-A0LbXh1xvl41,,
External Rotations with Band,3 x 15 each arm,,TRUE,External Rotation Demo,,
,,,TRUE,,green band ,
,,,TRUE,,,
Wall Slides w/Lift Off,3 x 12,,TRUE,Wall Slides Tutorial,,
,,,TRUE,,,
,,,TRUE,,,
Wrist Curls (forearm tendonitis prevention),2 x 20 each,10,TRUE,Wrist Curls Demo,,
,,,TRUE,,,
,,,,,,
DAY 2: Back & Biceps,,,,,,
Lat Pulldown (wide grip),4 x 10-12,120,TRUE,Lat Pulldown Form,,
,10,100,TRUE,,,
,10,100,TRUE,,,
,10,100,TRUE,,,
Chest-Supported Rows,4 x 12-15,45,TRUE,https://youtu.be/0bzN1oy0gtQ?si=M4B0WSOunQpU-O8p,,
,10,45,TRUE,,,
,12,35,TRUE,,,
,12,35,TRUE,,,
Lat stretch (pull arm across) - 30 sec each side,,,TRUE,https://youtu.be/6V5tSn9oEJg?si=OfZ0j73-yz27Jf5M,,
Cable Rows (neutral grip),3 x 12-15,100,TRUE,Cable Row Tutorial,,
,12,100,TRUE,,,
,12,100,TRUE,,,
Reverse Pec Deck (rear delts),3 x 15,80,TRUE,https://youtube.com/shorts/7tgx6QHB0-A?si=X5-rjivVzjrL7gZl,,
,15,80,TRUE,,,
,15,80,TRUE,,,
Thread the needle - 30 sec each side,,,TRUE,,,
Incline Dumbbell Curls,3 x 10-12,15,TRUE,Incline Curls Demo,,
,,15,TRUE,,,
,,15,TRUE,,,
Preacher Curls (machine or bench),3 x 12-15,40,TRUE,Preacher Curls Tutorial,,
,,40,TRUE,,,
,,40,TRUE,,,
Bicep wall stretch - 30 sec each side,,,TRUE,https://youtube.com/shorts/j0rdJpN4B8Y?si=s7YD7qBcdfUfGHZ0,,
Dumbbell Shrugs (controlled),3 x 15,45,TRUE,Dumbbell Shrugs Form,,
,,45,TRUE,,,
,,45,TRUE,,,
Reverse Curls (forearm strength),3 x 15,10,TRUE,https://youtube.com/shorts/1Nvg_vHUJPY?si=arsQGG6ZoDIQmTaf,,
,,10,TRUE,,,
,,10,TRUE,,,
Upper trap stretch - 30 sec each side,,,TRUE,https://youtu.be/yho44869qPw?si=HFLXdedAmxWOuUn7,,
Prone YTWs,3 x 10 each,,FALSE,YTW Exercise Tutorial,,
,,,FALSE,,,
,,,FALSE,,,
Plank with Shoulder Taps,3 x 20 total,,TRUE,Plank Shoulder Taps,,
,,,TRUE,,,
,,,TRUE,,,
Hanging Dead Hang (grip strength),3 x 20-30 sec,,TRUE,Dead Hang Tutorial,,
,20,,TRUE,,,
,20,,TRUE,,,
,,,,,,
DAY 3: Legs & Core,,,,,,
Leg Press,4 x 12-15,240,TRUE,Leg Press Form,,
,12,240,TRUE,,,
,12,240,TRUE,,,
,12,240,TRUE,,,
Leg Extensions,4 x 15,90,TRUE,Leg Extensions Demo,,
,15,90,TRUE,,,
,15,90,TRUE,,,
,15,90,TRUE,,,
Standing quad stretch - 30 sec each leg,,,TRUE,https://youtu.be/Uwwuc8pRRc0?si=wqZIub-SBw7at7ea&t=2,,
Leg Curls (lying or seated),4 x 12-15,120,TRUE,Leg Curls Tutorial,,
,12,120,TRUE,,,
,12,120,TRUE,,,
,,,FALSE,,,
Barbell Hip Thrusts,4 x 12-15,90,TRUE,Hip Thrust Form,,
,,90,TRUE,,,
,,90,TRUE,,,
,,90,TRUE,,,
Figure-4 stretch - 30 sec each side,,,TRUE,https://youtube.com/shorts/4CqSgEx5q_g?si=o8Fy1R9lbjNhaB2g,,
Smith Machine Lunges,3 x 12 each leg,70,TRUE,Smith Machine Lunges,,
,,70,TRUE,,,
,,70,TRUE,,,
Standing Calf Raises (machine),3 x 20,210,TRUE,,,
,,190,TRUE,,,
,,190,TRUE,,,
Hip flexor stretch - 30 sec each side,,,TRUE,https://youtube.com/shorts/ZQXGUfGmgKc?si=kRsaB5pQgh8V4N6s,,
Hip Abductor Machine,3 x 15,130,TRUE,Hip Abductor Machine,TRUE,Hip Abductor Machine
,,145,TRUE,,TRUE,
,,145,TRUE,,TRUE,
Hip Adductor Machine,3 x 15,145,TRUE,Hip Adductor Machine,TRUE,Hip Adductor Machine
,,145,TRUE,,TRUE,
,,145,TRUE,,TRUE,
Seated spinal twist - 30 sec each side,,,TRUE,https://youtube.com/shorts/CEGaNMsb8IA?si=vMRvNEv5ROPe0YKt,,
Cable Woodchops,3 x 12 each side,30,TRUE,Cable Woodchops Demo,,
,15,30,TRUE,,,
,,,FALSE,,,
Pallof Press,3 x 12 each side,,TRUE,Pallof Press Tutorial,,
,,,TRUE,,,
,,,FALSE,,,
Full Back Stretch - 30 seconds ,,,TRUE,https://youtu.be/rWFRxEr6eQ8?si=ViTqecW4hTlwgqL2,,
Weighted Russian Twists,3 x 30 total,15,TRUE,Russian Twists Demo,,
