Exercise,Sets x Reps/Time,Weight,Complete,Demo,Notes
Kyphosis-Focused 3-Day Workout Routine,,,,,
60-75 minutes per session | Superset format with stretches between sets,,,,,
DAY 1: Upper Back & Posterior Chain,,,,,
Prone YTWs,3 x 12 each,N/A,TRUE,https://youtu.be/QdGTI4Lshg4?si=VJBW_u0alTqy5b50,
,,,TRUE,,
,,,TRUE,,
Seated Cable Rows,3 x 15,100,TRUE,https://youtube.com/shorts/LyZH4UGdDTc?si=ZlgSvha8tVYYGPVC,
,,100,TRUE,,
,,100,TRUE,,
Thoracic extension over foam roll - 45 sec,,,TRUE,https://youtu.be/gCNmsijJdFY?si=XPXqi300EaQOKqmr&t=15,
Deep Neck Flexors (chin tucks),3 x 20 sec,N/A,TRUE,https://youtu.be/2Afm2uIDNRw?si=7lHWomf4tPBfZfQU&t=65,
,,,TRUE,,
,,,TRUE,,
Wall Slides/Wall Angels,3 x 12,N/A,TRUE,https://youtu.be/ywYi4rBhRBQ?feature=shared&t=23,
,,,TRUE,,
,,,TRUE,,
Standing chest opener (hands clasped behind back) - 30 sec,,,TRUE,https://youtube.com/shorts/2kx8BdPtONY?si=a7ugM734D1Ls0HeQ,
Romanian Deadlifts,3 x 12,115,TRUE,https://youtu.be/TIvKHlZZJGs?si=zd2hI_nRzJ9MSCFO&t=20,
,,,TRUE,,
,,,TRUE,,
Standing Calf Raises (2 sec hold),3 x 20,Bodyweight,TRUE,,
,,,TRUE,,
,,,TRUE,,
Standing hamstring stretch - 30 sec each leg,,,TRUE,https://youtu.be/tJNsKOVTCfo?si=elax2YjVjqPtS-F7,
Face Pulls,3 x 15,42.5,TRUE,Face Pulls Tutorial,
,,,TRUE,,
,,,TRUE,,
Single-Leg Calf Raises,3 x 15 each,Bodyweight,TRUE,,
,,,TRUE,,
,,,TRUE,,
Doorway pec stretch - 30 sec each side,,,TRUE,https://youtube.com/shorts/W1WcacpQ_RM?si=ajV1ymfBZadpBiDc,
Reverse Flyes,3 x 12,15,TRUE,https://youtu.be/xvEkgGUrGPM?si=-2VnHUyk5V0BSy2q,
,,,TRUE,,
,,,TRUE,,
Brugger's Relief Position Holds,3 x 30 sec,Bodyweight,TRUE,https://youtu.be/eb5LHGpAJIk?si=q6EwhHuQHFjlYb-P,
,,,TRUE,,
,,,TRUE,,
Lat stretch (overhead side bend) - 30 sec each side,,,TRUE,https://youtu.be/gvje071zBXE?si=oIwdjM5xVwuCzIYt,
Farmer's Carries,3 x 40 sec,53,TRUE,,
,,,TRUE,,
,,,TRUE,,
Planks (neutral neck),3 x 30-45 sec,Bodyweight,TRUE,,
,40,,TRUE,,
,45,,TRUE,,
Neck Extensor Stretch,2 x 30 sec,Bodyweight,TRUE,https://youtu.be/546qSXZ_ddk?si=bHc_0JLWNwUbuxMS,
,,,TRUE,,
,,,,,
DAY 2: Lower Body & Glute Focus,,,,,
Goblet Squats (chest up),4 x 15,44,TRUE,https://youtu.be/MeIiIdhvXT4?si=cB89Of7Y5Y28W8mp,
,,44,TRUE,,
,,44,TRUE,,
,,,FALSE,,
Walking Lunges,4 x 12 each leg,Bodyweight,TRUE,https://youtu.be/L8fvypPrzzs?si=faPr8kKlu4lwFfJM,
,,,TRUE,,
,,,TRUE,,
,,,FALSE,,
Hip flexor stretch - 30 sec each side,,,TRUE,https://www.facebook.com/share/v/1Gb3eVwwBK/,
Bulgarian Split Squats,3 x 12 each leg,20,TRUE,https://youtu.be/o7yFuIR9XVU?si=TnxZXpF8ToZLBjIK,"18"" box"
,,20,TRUE,,
,,20,TRUE,,
Lateral Lunges,3 x 10 each side,Bodyweight,TRUE,https://youtu.be/gwWv7aPcD88?si=HLlvaWT8TxJ6w-TK,
,,,TRUE,,
,,,TRUE,,
Upper trap stretch - 30 sec each side,,,TRUE,https://youtu.be/yho44869qPw?si=HFLXdedAmxWOuUn7,
Lying Leg Curls,3 x 12,90,TRUE,https://youtube.com/shorts/lGNeJsdqJwg?si=NyVwuM5u7Fx6taHY,
,,90,TRUE,,
,,90,TRUE,,
Seated Calf Raises (soleus),3 x 20,Bodyweight,TRUE,,
,,,TRUE,,
,,,TRUE,,
Figure-4 stretch - 30 sec each side,,,TRUE,https://youtu.be/Xb5gHdYtHnk?si=plxyZkHd8mSDW08P&t=29,
Hip Abductor Machine,3 x 15,145,TRUE,Hip Abductor Machine,
,,145,TRUE,,
,,145,TRUE,,
Hip Adductor Machine,3 x 15,145,TRUE,Hip Adductor Machine,
,,145,TRUE,,
,,145,TRUE,,
Spinal rotations (seated) - 8 each side,,,TRUE,https://youtube.com/shorts/bZxRIqJmJOo?si=ybie3Vtw9jGnEJLg,
Wall Sit,3 x 60 sec,Bodyweight,TRUE,,
,,,TRUE,,
,,,TRUE,,
Calf Raises on Stairs (full ROM),3 x 15,,TRUE,https://youtu.be/__qfDhdByMY?si=0C-x54kcMFEsHPu7,
,,,TRUE,,
,,,TRUE,,
,,,,,
DAY 3: Full Body & Athletic Performance,,,,,
Inverted Rows (or TRX rows),3 x 12,,TRUE,https://youtube.com/shorts/mp-50tdOr6s?si=gOnmvaxmH8_ZxvKU,
,,,TRUE,,
,,,TRUE,,
Step-Ups (knee drive at top),3 x 12 each leg,,TRUE,https://youtube.com/shorts/uB6C5ERjrjw?si=WGgnd0vzR4qo-GND,
,,,TRUE,,
,,,TRUE,,
Thread the needle - 30 sec each side,,,TRUE,https://youtube.com/shorts/h6_v-dZGLjY?si=3JpQRzgb5sPSOYfn,
Dumbbell Chest Press,3 x 12,35,TRUE,https://youtube.com/shorts/rk8YayRoTRQ?si=32weU_5Oix_-PHys,
,,30,TRUE,,
,,35,TRUE,,
Reverse Lunges,3 x 12 each leg,30,TRUE,https://youtube.com/shorts/b_2qgdXT_QQ?si=vg-BRUztYPHUiYCl,
,,,TRUE,,
,,,TRUE,,
Upper trap stretch - 30 sec each side,,,TRUE,https://youtu.be/-r0eoFS7_5Q?si=I12nyneJsx1FezqX&t=9,
Single-Leg Squats to Box,3 x 8 each leg,,TRUE,https://youtube.com/shorts/UjfJCWo__hk?si=TyvK38qitdOO7MME,"24"" box"
,,,TRUE,,
,,,TRUE,,
Calf Raises Single Leg (3 sec eccentric),3 x 12 each leg,,TRUE,https://youtube.com/shorts/1Xk4k0u_R_o?si=uHXyzVKj8TW2vvYB,
,,,TRUE,,
,,,TRUE,,
Hip circles - 8 each direction,,,TRUE,https://youtube.com/shorts/_kkLyBdQbLs?si=eg8cTx98y0glC502,
Cable or Band Rows,3 x 15,52.5,TRUE,https://youtube.com/shorts/W5CGo5vzbXI?si=M02xMl0c62ZADQus,
,,,TRUE,,
,,,TRUE,,
Lateral Raises (light weight),3 x 12,15,TRUE,https://youtube.com/shorts/U2gMn8GXr2A?si=bx20jik8aYPoNITi,
,,,TRUE,,
,,,TRUE,,
Foam roll thoracic extensions - 45 sec,,,TRUE,https://youtube.com/shorts/j1V-stq6j0g?si=Enz38eT2UNPO0OX-,
External Rotations (light weight),3 x 15 each arm,10,TRUE,https://youtube.com/shorts/JdE0dZLZ-Tc?si=351KMpwsrbI4HEcX,
,,10,TRUE,,
,,5,TRUE,,
Band Pull-Aparts (multiple angles),3 x 15,,TRUE,,
,,,TRUE,,
,,,TRUE,,
Pec minor stretch (corner or doorway) - 30 sec,,,TRUE,https://youtube.com/shorts/W1WcacpQ_RM?si=W9ZpSWsWExhhKxeM,
Spinal Extensors (Superman holds),3 x 20 sec,Bodyweight,TRUE,https://youtu.be/u6URsk0OmTE?si=jqINp5qsSCZ4IQ8I,
,,,TRUE,,
,,,TRUE,,
Dead Bugs with Arm Reaches,3 x 8 each side,Bodyweight,TRUE,https://youtube.com/shorts/DqLL45uk2Tk?si=RfSO4VARGBEBQVTV,
,,,TRUE,,
,,,TRUE,,
Standing Thoracic Rotations,3 x 10 each side,Bodyweight,TRUE,https://youtube.com/shorts/Pa0D-RNO4cQ?si=Wy2LuBPlXM5kzI3U,
,,,TRUE,,
,,,TRUE,,
Key Reminders,,,,,
Pre-Workout: Foam roll upper back for 2-3 minutes before each session,,,,,
Form First: Focus on perfect form over weight for the first month,,,,,
Progression: Add 5-10% weight when you can complete all reps with excellent form,,,,,
"Kyphosis Focus: Keep neck neutral, emphasize thoracic extension, stretch tight pecs/lats",,,,,
"Injury Prevention: Stop if you feel pain (not muscle fatigue), protect rotator cuff",,,,,
Complementary Work: Pilates (Tuesday) and Yoga (Thursday) enhance this routine,,,,,
